name,ph_seq,ph_dur
Another_Life_seg015,SP w ah t ih f dx ax m aa r ow SP,0.4944736 0.0528064 0.0602016 0.0312928 0.0463264 0.1093728 0.05 0.030208 0.0940256 0.4653504 0.0747872 0.3647968 0.720832
Another_Life_seg016,SP w ah t ih f t ax m aa r ow SP,0.720832 0.0477024 0.0734688 0.0382048 0.0393472 0.0814848 0.059376 0.0208352 0.0866048 0.5034016 0.0962592 0.2731104 0.2604128
Another_Life_seg017,SP w aa z ax d ey w iy k uh d f er g eh t SP,0.2604128 0.0395872 0.0510368 0.079168 0.0334176 0.1316288 0.2755808 0.0781664 0.1870752 0.1081632 0.084352 0.0605472 0.1244864 0.1061664 0.1 0.1406272 0.0865408 0.2095264
Another_Life_seg018,SP ay m ey k y uw l ay dx ah p ih n dh ax d aa r k SP,0.2095264 0.1435168 0.124512 0.1921792 0.1329888 0.0418368 0.0459168 0.0768768 0.446256 0.0523808 0.131968 0.1799296 0.10536 0.05 0.029168 0.1484704 0.1547616 0.2082208 0.0697984 0.0895808 0.2604192
Another_Life_seg019,SP p ay n t dh ax s g ay ae n l iy v ow er m aa r k SP,0.2604192 0.0414848 0.0791328 0.0591872 0.0319712 0.1244896 0.0845664 0.1201952 0.1485536 0.309376 0.1046528 0.0557664 0.1197888 0.1271712 0.087408 0.1411616 0.0640512 0.119792 0.2812512 0.059376 0.0895808 0.2906304
Another_Life_seg020,SP s ow dh ae t eh v r iy w ah n k uh d s iy AP w ah w ih l n eh v er b iy SP,0.2906304 0.1160672 0.1554336 0.0353824 0.1768704 0.1163264 0.309296 0.0675712 0.0639488 0.1893056 0.069792 0.0932768 0.086928 0.0593824 0.0958752 0.0717664 0.1219392 0.3604128 0.2500032 0.0499968 0.133632 0.0861632 0.1036352 0.10544 0.1850368 0.432992 0.0833088 0.160416 0.0773632 0.4018048 0.4
Another_Life_seg021,SP m ey b iy ih t s ax n ah dh er t ay ay m SP,0.4 0.0594176 0.2812096 0.0500032 0.2681088 0.1299328 0.0717504 0.1 0.0959488 0.2040448 0.3000064 0.0499968 0.130208 0.1291712 1.423296 1.3374144 0.0497024 0.0965568
Another_Life_seg023,SP m ey b iy ih t s ax n ah dh er d ey ey SP,0.1336512 0.0500032 0.3104128 0.0324608 0.2591872 0.1115584 0.0863808 0.1 0.1 0.1895808 0.3 0.0499968 0.1192896 0.1609216 1.4659392 1.5214272 0.4428416
Another_Life_seg024,SP m ey b iy ih t s ax n ah dh er SP,0.4428416 0.0527296 0.2972672 0.0517312 0.2340032 0.1361408 0.0791744 0.0791616 0.0915776 0.1980096 0.2895808 0.0499968 0.2208384 0.0499968
Another_Life_seg025,SP t ay m SP,0.0499968 0.069792 0.790624 0.079168 0.7
Another_Life_seg027,SP m ey b iy ih t s ax n ah dh er t ay SP,0.2631808 0.0487296 0.2721088 0.035712 0.2520384 0.1414144 0.1291584 0.0500032 0.0708352 0.1875008 0.2916608 0.0500032 0.1010432 0.139584 1.3895808 0.1197888
Another_Life_seg028,SP ay m SP,0.1197888 1.2604224 0.239584 0.2787456
Another_Life_seg030,SP m ey b iy ih t s ax n ah dh er d ey SP,0.1286144 0.0540416 0.2761664 0.050016 0.2506816 0.1888832 0.1197952 0.05664 0.0746048 0.1791744 0.3197888 0.0499968 0.1302144 0.1197888 3.069792 0.0460928
Another_Life_seg032,SP m ey b iy ih t s ax n ah dh er l ay f f ao r y uw SP,0.165312 0.057184 0.290624 0.0440256 0.2351424 0.160416 0.0499968 0.1197952 0.130208 0.139584 0.320832 0.0433472 0.1472832 0.1291648 3.7929344 0.1164352 0.1128256 0.1581504 0.1000128 0.1488 1.2500032 0.430208
Another_Life_seg033,SP ae n m iy AP m ey b iy ih t s ax n ah dh er t ay m AP SP,0.430208 0.1048896 0.0763584 0.1156992 1.0228416 0.3802112 0.054432 0.2955712 0.0197888 0.2446144 0.166848 0.1098048 0.0693568 0.0802112 0.209376 0.3 0.0499968 0.0968256 0.1531776 3.1631552 0.2566336 0.322624 0.1231232
Another_Life_seg034,SP m ey b iy ih t s ax n ah dh er d ey SP,0.1231232 0.064672 0.2890752 0.038784 0.2452288 0.1373376 0.0697792 0.0895872 0.1104128 0.1619328 0.2880704 0.039584 0.1406272 0.139584 2.6104128 0.4697984
Another_Life_seg035,SP m ey b iy ih t s ax n ah dh er l ay f AP SP,0.4697984 0.0581696 0.2616256 0.0462144 0.228224 0.166176 0.069792 0.0895872 0.110432 0.1568704 0.3233088 0.039584 0.1456192 0.097952 3.6064384 0.0850496 0.1496704 0.195488
Another_Life_seg036,SP f ao r y uw SP,0.195488 0.0728704 0.1693952 0.0973184 0.1197952 1.0999936 0.569792
Another_Life_seg037,SP ae n m iy SP,0.569792 0.1302144 0.1000064 0.1107712 2.1544192 0.2636032
Another_Life_seg038,SP s w iy dx ax s d ey z dh ae dx ay eh v er hh ae d SP,0.2636032 0.0955776 0.1673472 0.248896 0.0327296 0.048512 0.079168 0.0934272 0.256448 0.0619136 0.1251584 0.0163328 0.058496 0.1643008 0.2426752 0.063104 0.0379392 0.109376 0.35104 0.0593792 0.3406208
Another_Life_seg039,SP l ah v s ow g uh d ih hh er t s ow b ae d AP SP,0.3406208 0.0593792 0.1104128 0.079168 0.1000064 0.2510336 0.0846336 0.3153664 0.1197952 0.0543104 0.1550592 0.1510528 0.0593664 0.079168 0.0842496 0.0761728 0.3802112 0.0499968 0.2868224 0.0775424
Another_Life_seg040,SP l ay f ih z k ow l d b ah t ay ey n m ae n aa l ae t dh ae t n er ae m ah d AP l ay f ih z k ow b ah t ay ey n m ae d n ax t SP,0.0775424 0.0647936 0.2010496 0.079168 0.0510336 0.0895872 0.079168 0.3010432 0.0197888 0.0197888 0.0697984 0.1604096 0.186816 0.2816384 0.0909184 0.0500096 0.0697856 0.3000064 0.1999872 0.1302144 0.0197888 0.0812544 0.0197888 0.0291712 0.1802112 0.0697856 0.1000064 0.030208 0.260416 0.0670848 0.1225088 0.0706816 0.2095104 0.0395904 0.2010368 0.0593792 0.0445696 0.0856448 0.1197696 0.28064 0.0932096 0.1261568 0.2093824 0.2542464 0.105792 0.0816256 0.0455808 0.3335936 0.0470144 0.1370752 0.1159168 0.0291584 0.3906176
Another_Life_seg041,SP n aa dx ax dh ae t n aa dx ah ae t SP,0.3906176 0.0728064 0.0870912 0.0203136 0.079168 0.0499968 0.1500032 0.1208192 0.0769792 0.0928256 0.0499968 0.1593728 0.1277312 0.0571392 0.1057536
Another_Life_seg042,SP ay m n aa l ih n SP,0.1057536 0.1104256 0.0198016 0.1640192 0.0953472 0.0406272 0.1791616 0.1000064 0.0753408
Another_Life_seg043,SP ay ax dh ah t SP,0.0753408 0.1954944 0.1499776 0.0429568 0.187264 0.0994688 1.4307328
Another_Life_seg044,SP k ax z ay n ow dh ae t SP,1.4307328 0.0702848 0.09952 0.0736128 0.2098688 0.1040768 0.3124352 0.05728 0.1020928 0.0395904 0.12704
Another_Life_seg045,SP w ah w iy hh ow l d ih z dh ax g r ey dx ax s d ao r iy n eh v er t ow t AP SP,0.12704 0.0635648 0.119808 0.0690048 0.150784 0.1488768 0.2917504 0.079168 0.0831616 0.0574592 0.0999936 0.0299648 0.0639488 0.1442176 0.045568 0.1558912 0.0465024 0.0451712 0.129152 0.0477824 0.4122368 0.0748288 0.174528 0.1911296 0.1030656 0.0775424 0.0980736 0.1883136 0.3325056 0.0593792 0.2744448 0.1057664
Another_Life_seg046,SP w ow SP,0.1057664 0.0500096 2.8999936 0.3697792
Another_Life_seg047,SP k ax z m ey b iy ih t s ax n ah dh er t ay ay m SP,0.3697792 0.0754688 0.0857216 0.1312896 0.3411584 0.2431872 0.0306304 0.3112192 0.1532032 0.0593792 0.0880896 0.1004544 0.169792 0.3062784 0.0479744 0.095744 0.1500032 1.6104064 1.4251264 0.0852992 0.0490624
Another_Life_seg049,SP m ey b iy ih t s ax n ah dh er d ey SP,0.142976 0.0689152 0.2706688 0.053824 0.2461696 0.1698048 0.0697728 0.0895872 0.0812544 0.1791616 0.2895872 0.0569728 0.1336576 0.139584 3.080192 0.111872
Another_Life_seg051,SP m ey b iy ih t s ax n ah dh er l ay f SP,0.197952 0.0619008 0.3005312 0.0436864 0.2354944 0.15104 0.0697856 0.0791808 0.1104128 0.1745024 0.2952832 0.0395904 0.2208256 0.110976 3.4210688 0.235392 0.173184
Another_Life_seg052,SP f ao r y uw SP,0.173184 0.0696832 0.1605248 0.079168 0.1093888 1.260416 0.3571456
Another_Life_seg053,SP ae n m iy SP,0.3571456 0.1136768 0.0895744 0.1004928 0.8984832 0.0906368
Another_Life_seg055,SP m ey b iy ih t s ax n ah dh er t ay m SP,0.1365248 0.0709632 0.2686208 0.0633344 0.2530688 0.1335936 0.0697984 0.1248512 0.1053568 0.1817216 0.318272 0.0500096 0.0987136 0.1605504 2.8303104 0.0895872 0.5604096
Another_Life_seg056,SP m ey b iy ih t s ax n ah dh er d ih ey SP,0.5604096 0.0395904 0.2812544 0.0338816 0.2857216 0.1293568 0.0499968 0.1080448 0.1221504 0.1458816 0.2843392 0.0500096 0.1051136 0.174144 0.4103168 2.5500032 0.1328896
Another_Life_seg058,SP m ey b iy ih t s ax n ah dh er l ay f SP,0.156288 0.0634368 0.2875904 0.0556032 0.2448896 0.175168 0.0632832 0.060032 0.1104128 0.1574528 0.3029632 0.0697984 0.1302016 0.139584 3.927168 0.2816384 0.212032
Another_Life_seg059,SP f ao r y uw SP,0.212032 0.0866048 0.1578112 0.1149568 0.139584 1.6 0.3801984
Another_Life_seg060,SP ae n m iy iy SP,0.3801984 0.090624 0.109376 0.1292032 1.1812992 1.24992 3.0603904
Another_Life_seg061,SP m ey b iy ih t s ax n ah dh er t ay m SP,3.0603904 0.0458112 0.1531776 0.037312 0.1033088 0.109376 0.0500096 0.0628096 0.0475904 0.1071616 0.2428544 0.0395776 0.1010176 0.146496 0.36288 0.0527616 0.197248
Another_Life_seg062,SP m ey iy ih t s ah n ah dh er p l ey s SP,0.197248 0.0701056 0.149696 0.1197952 0.090624 0.0697984 0.0544128 0.0455552 0.1044608 0.2559744 0.0334848 0.0675584 0.109376 0.0424576 0.2971136 0.1396096 1.1499776
Another_Life_seg063,SP m ey b iy ih t s ax n ah dh er t ay m SP,1.1499776 0.076224 0.1436032 0.0203392 0.1192192 0.041664 0.0593664 0.0697984 0.0500096 0.1021184 0.2582912 0.0395904 0.0603904 0.0951296 0.3404544 0.0745216 0.2086912
Another_Life_seg064,SP m ey b iy ih t s ax n ah dh er p l ey s SP,0.2086912 0.0651136 0.1659904 0.029312 0.038016 0.0630016 0.0395776 0.0791808 0.0802304 0.1077504 0.2234624 0.041152 0.0588544 0.1093376 0.043712 0.2865408 0.129152 1.280192
Another_Life_seg065,SP m ey b iy ih t s ax n ah dh er t ay m SP,1.280192 0.067392 0.152448 0.0189952 0.0809728 0.090624 0.0396032 0.0698112 0.056384 0.0898048 0.2350592 0.0291072 0.0650752 0.1040896 0.320448 0.0499968 0.2708352
Another_Life_seg066,SP m ey b iy ih t s ax n ah dh er p l ey s SP,0.2708352 0.0757248 0.1836544 0.0262016 0.0738048 0.0802048 0.0395904 0.0771584 0.05408 0.0901376 0.1994752 0.039552 0.0802048 0.109376 0.0584704 0.3415552 0.189568 1.64064
Another_Life_seg067,SP m ey b iy ih t s ax n ah dh er t ay m SP,1.64064 0.0790272 0.140736 0.0315776 0.0882304 0.0718592 0.0291712 0.079168 0.0481408 0.0979712 0.2247424 0.0500864 0.0488576 0.11552 0.3179136 0.0557952 0.2211712
Another_Life_seg068,SP m ey b iy ih t s ax n ah dh er p l ey s SP,0.2211712 0.0717952 0.167808 0.0197888 0.0802048 0.0614528 0.0396032 0.0724224 0.0567424 0.095616 0.2345856 0.019776 0.0614528 0.121408 0.0446464 0.2631296 0.0895872 0.5624832
Another_Life_seg070,SP m ey b iy ih t s ax n ah dh er t ay m SP,0.1923456 0.059392 0.260416 0.059712 0.2392448 0.15104 0.0697856 0.098688 0.1012992 0.1680768 0.2913152 0.0499968 0.1010432 0.1791744 3.230208 0.0895744 0.088192
Another_Life_seg072,SP m ey b iy ih t s ax n ah dh er d ey SP,0.1778304 0.067968 0.2914048 0.02176 0.2736896 0.1149824 0.0697856 0.084608 0.0653824 0.1881344 0.292096 0.0291584 0.139584 0.1450624 3.0049408 0.1347456
Another_Life_seg074,SP m ey b iy ih t s ax n ah dh er l ay f ao r y uw SP,0.1274368 0.0553216 0.2853248 0.060032 0.2899456 0.1604224 0.0499968 0.0865024 0.2228736 0.0728064 0.2969728 0.0395904 0.2028928 0.087744 3.9104 0.177408 0.1819648 0.0698112 0.2674432 1.223168 0.813568
Another_Life_seg075,SP ae n m iy SP,0.813568 0.1166592 0.0895744 0.1211904 0.9918464 0.506752
Another_Life_seg076,SP m ey b iy ih t s ah n ah dh er SP,0.506752 0.0615168 0.2790912 0.0492544 0.2648576 0.1671424 0.0593664 0.095488 0.11392 0.1327872 0.343296 0.0394496 0.1042432 0.0708352
Another_Life_seg077,SP t ay m SP,0.0708352 0.094336 3.2452608 0.15936 0.086528
Another_Life_seg079,SP m ey b iy ih t s ax n ah dh er d ey AP SP,0.1584896 0.0551168 0.3024896 0.0231424 0.2689024 0.151424 0.0593664 0.0976128 0.1033984 0.1291776 0.3104256 0.0395776 0.1197824 0.1443584 2.8452352 0.274944 0.1656832
Another_Life_seg080,SP m ey b iy ih t s ax n ah dh er l ay f SP,0.1656832 0.0556032 0.2943744 0.0430848 0.2861056 0.1614336 0.0698112 0.097152 0.1292544 0.1367296 0.3066368 0.0396032 0.130176 0.1505792 4.0494592 0.2561792 0.1636096
Another_Life_seg081,SP f ao y uw SP,0.1636096 0.0895744 0.2708224 0.2395904 1.3197824 0.4302336
Another_Life_seg082,SP ae n m iy SP,0.4302336 0.1708032 0.0594176 0.08064 2.5120768 0.3795712
Deja_Vu_seg000,SP s iy y ao r b aa d iy SP,0.6380952 0.1014881 0.2944302 0.0951532 0.0416666 0.0791667 0.1005669 0.3192248 0.0499999 0.3291668 0.3010416
Deja_Vu_seg001,SP ih n t uw dh ax m uw n l ay t AP iy v ih n ih f ay SP,0.3010416 0.0697916 0.1 0.0294148 0.1507936 0.0442178 0.0755738 0.1575326 0.1737174 0.1395834 0.059375 0.2697916 0.0697916 0.3395836 0.2916668 0.0791664 0.1802084 0.0442812 0.1931976 0.2077096 0.3641868 0.2406248
Deja_Vu_seg002,SP tr ay t uw k ae n s ax l SP,0.2406248 0.1093752 0.3104164 0.106916 0.1024592 0.1061576 0.2042588 0.069792 0.1409156 0.189292 0.1395832 0.3486752
Deja_Vu_seg003,SP ao l dh ax p ih k ch er z SP,0.3486752 0.312784 0.0791664 0.0534016 0.0653056 0.142404 0.1690968 0.15 0.0718328 0.2448968 0.1124376 0.25
Deja_Vu_seg004,SP ih n t uw dh ax m ay n dh eh r z ax f l ae sh ih ng ih n m ay SP,0.25 0.0801928 0.1079376 0.0517008 0.1403768 0.039584 0.062216 0.1360544 0.2527704 0.089584 0.0472152 0.2340344 0.0748104 0.1002248 0.0739232 0.1093752 0.0670416 0.1933752 0.1895832 0.130208 0.0904616 0.1397472 0.1093752 0.15 0.310416 0.1285568
Deja_Vu_seg005,SP ay z SP,0.1285568 1.097052 0.1348096 1.1791648
Deja_Vu_seg006,SP d ow n t y uw s iy m ay SP,1.1791648 0.061536 0.2290896 0.0593744 0.1000016 0.0092672 0.0448976 0.1659872 0.128344 0.0884352 0.3536944 0.1802064
Deja_Vu_seg007,SP k ax n d ih sh ax n SP,0.1802064 0.0593744 0.0708352 0.1118528 0.036736 0.1269824 0.2875296 0.3555568 0.1709232 0.3
Deja_Vu_seg008,SP dh ax f ih k sh ax n SP,0.3 0.028848 0.057144 0.1414976 0.1038528 0.1488672 0.1791664 0.4510432 0.0791648 0.2592192
Deja_Vu_seg009,SP ih t s g aa n er n SP,0.2592192 0.061616 0.05 0.0395808 0.1 0.1708352 0.1093744 0.1 0.0593744 0.4802096
Deja_Vu_seg010,SP ih t s g aa n ax r ah n ih t ax g eh n SP,0.4802096 0.0510416 0.05 0.039584 0.0861168 0.153464 0.059376 0.1614592 0.0855648 0.1310656 0.0625856 0.3697424 0.0452224 0.0802736 0.1578224 0.33424 0.0928576 0.2406256
Deja_Vu_seg011,SP k ae n t y uw s iy n aw SP,0.2406256 0.0869248 0.2630752 0.0593744 0.089584 0.0197904 0.05072 0.159696 0.1391664 0.0848064 0.3854032 0.230208
Deja_Vu_seg012,SP ih l uw sh ax n z AP r ay t ih n t uw y ao r m ay n d AP d ey zh aa v uw SP,0.230208 0.110416 0.1193248 0.3678 0.1306144 0.4030928 0.0895872 0.0791648 0.310416 0.039584 0.1938 0.03492 0.219504 0.112192 0.0764672 0.16416 0.0791664 0.1510416 0.1013248 0.1210864 2.4671744 0.0499968 0.079168 0.3697888 0.053376 0.1778752 0.0633952 0.1569152 0.0956928 0.2933696 0.5887136
Deja_Vu_seg013,SP ay f dx jh ah s t SP,0.5887136 0.1165568 0.095776 0.0197888 0.0735488 0.0962432 0.05 0.079168 1.139584
Deja_Vu_seg014,SP d ey zh aa v uw SP,1.139584 0.05 0.14056 0.0607712 0.17888 0.0569504 0.2732512 0.319488
Deja_Vu_seg015,SP ay f dx er ah z r iy n SP,0.319488 0.1315552 0.0197952 0.063616 0.1155456 0.0208384 0.05 0.0291616 0.0812512 0.229168 2.4
Deja_Vu_seg016,SP d ey jh ah v uw SP,2.4 0.0395808 0.130208 0.0602592 0.1437632 0.0855648 0.260416 0.209376
Deja_Vu_seg017,SP ay v SP,0.209376 0.1389728 0.0912352 2.640624
Deja_Vu_seg018,SP d ey zh aa v uw SP,2.640624 0.0486368 0.121552 0.069392 0.1446624 0.0893376 0.216 0.2438656
Deja_Vu_seg019,SP ay v jh ah s t b ih n ih t SP,0.2438656 0.1467648 0.0990432 0.1999136 0.1218752 0.0395808 0.0197952 0.0678112 0.1113504 0.053728 0.096272 0.0395872 0.3812512
Deja_Vu_seg020,SP dh ih s p l ey s b ih f ao r SP,0.3812512 0.0291616 0.1208384 0.1 0.119792 0.0527808 0.257632 0.05 0.079168 0.080208 0.1348096 0.1058144 0.079168 0.2197888
Deja_Vu_seg021,SP hh ay er aa n dh ax s tr iy t ih n ax SP,0.2197888 0.0555456 0.323808 0.1404416 0.1516192 0.068032 0.0209728 0.1104192 0.0895808 0.05 0.23152 0.1469376 0.1121632 0.115952 0.2225952 0.6406208
Deja_Vu_seg022,SP hh ay er SP,0.6406208 0.0547008 0.2848864 0.169792 0.3104128
Deja_Vu_seg023,SP hh ay er aa n dh ax s tr iy t SP,0.3104128 0.0395872 0.340624 0.1197888 0.1604192 0.059376 0.0230496 0.1175744 0.0999968 0.0459168 0.234288 0.0395904 0.1256768
Deja_Vu_seg024,SP ae n d ay n ow ih t s m ay t ay m t uw g ow SP,0.1256768 0.1043008 0.0596064 0.0152224 0.1727968 0.0680224 0.1845824 0.090624 0.039584 0.0593728 0.0503264 0.1194688 0.1308704 0.2993344 0.05 0.0801504 0.11048 0.0994944 0.5598752 0.2604192
Deja_Vu_seg025,SP k ao l ih ng y uw SP,0.2604192 0.0504576 0.1693344 0.039584 0.119792 0.0999968 0.0592704 0.2709408 0.3966304
Deja_Vu_seg026,SP ax n dh ax s er ch ih z ax m ih s t ax r iy AP s t ae n d ih ng aa n m ay f iy t SP,0.3966304 0.0939968 0.0791648 0.0086976 0.0819264 0.158896 0.1560064 0.1048896 0.1 0.1197888 0.1604224 0.079072 0.1011328 0.1500032 0.1895808 0.1406208 0.0953024 0.1942848 0.160416 0.0593728 0.0757312 0.1742656 0.0425088 0.0163264 0.1120064 0.0793792 0.1612416 0.0395904 0.036352 0.1625984 0.106336 0.2342912 0.079168 0.1173824
Deja_Vu_seg027,SP ih t s ow hh aa r d dh ae w eh n ay t SP,0.1173824 0.0930368 0.0499968 0.0524288 0.1475712 0.1109376 0.1109376 0.039584 0.039584 0.0393664 0.0793792 0.069792 0.111456 0.079168 0.1708352 0.0291648 0.6208384
Deja_Vu_seg028,SP s t ae d ih ng aa n m ay f iy t w eh n ax SP,0.6208384 0.0791616 0.066336 0.1940864 0.0340288 0.1357568 0.0692288 0.1516096 0.0291648 0.045984 0.154016 0.0895168 0.2302784 0.1999936 0.0599808 0.1702272 0.069792 0.139584 0.5010432
Deja_Vu_seg029,SP s t ae n d ih ng aa n m ay f iy t ih t s ow hh aa r d w eh n ay tr ay d t uw b iy m iy AP w ow SP,0.5010432 0.0791744 0.0687488 0.1614464 0.0198016 0.0319104 0.1378752 0.0607616 0.149664 0.0197888 0.0573056 0.1569088 0.1159936 0.19648 0.2272128 0.0669248 0.0291712 0.1007296 0.1701056 0.0629952 0.10784 0.0395776 0.0395904 0.0751296 0.1144448 0.0633344 0.1356288 0.168224 0.2026112 0.0395776 0.146016 0.1435712 0.0750272 0.1749696 0.0500032 0.430208 0.2802048 0.0895872 1.230208 0.2464064
Deja_Vu_seg030,SP d ey zh aa v uw SP,0.2464064 0.042176 0.1718336 0.0626304 0.160096 0.0668544 0.2500032 0.3185152
Deja_Vu_seg031,SP ay v jh uh s t SP,0.3185152 0.142944 0.079168 0.0697856 0.1510464 0.0291648 0.039584 1.1708288
Deja_Vu_seg032,SP d ey zh aa v uw SP,1.1708288 0.0961664 0.1527936 0.078496 0.1573632 0.0641408 0.2500032 0.2201024
Deja_Vu_seg033,SP ay v SP,0.2201024 0.1903104 0.0895872 0.3214592
Deja_Vu_seg034,SP b ih n SP,0.3214592 0.040832 0.1189632 0.2593664 0.960416
Deja_Vu_seg035,SP d ey zh aa v uw SP,0.960416 0.0485376 0.1514624 0.0821056 0.1574784 0.0674624 0.2117056 0.1932864
Deja_Vu_seg036,SP ay v jh ah s t b iy n ih n dh ih s SP,0.1932864 0.1171264 0.0500096 0.107232 0.1136 0.0197888 0.0197952 0.0499968 0.1104128 0.0791744 0.1104128 0.109376 0.0197888 0.1614592 0.079168 0.3
Deja_Vu_seg037,SP t ay m b ih f ao r SP,0.3 0.069216 0.3016192 0.0593728 0.0462592 0.0735296 0.162752 0.1080832 0.0593728 0.2197952
Deja_Vu_seg038,SP hh ay er aa n dh ax b ih t SP,0.2197952 0.0558336 0.2108928 0.2134848 0.162464 0.0761984 0.0335552 0.1381952 0.0895808 0.2302144 0.0895808 0.1236288
Deja_Vu_seg039,SP ay n ow ih t s m ay SP,0.1236288 0.1670016 0.0520576 0.157312 0.1397312 0.0602688 0.0593728 0.0649344 0.3070336 1.0040896
Deja_Vu_seg040,SP hh ay er aa n dh ax b iy t SP,1.0040896 0.0430848 0.2610688 0.1802112 0.160416 0.0622336 0.0273472 0.130208 0.0955136 0.2458048 0.0586816 0.1449472
Deja_Vu_seg041,SP ae n d ay n ow ih t s ax p l ey s t uw g ow SP,0.1449472 0.1456832 0.0593664 0.0158144 0.1482944 0.0743744 0.2313088 0.130208 0.0500032 0.0593728 0.1010432 0.1197888 0.0697344 0.2406912 0.0895744 0.08832 0.1012608 0.120064 0.6299392 0.220832
Deja_Vu_seg042,AP k ao l ih ng y uw SP ah,0.220832 0.039584 0.1802112 0.0593728 0.1131392 0.1076992 0.0746176 0.2243392 0.258656 0.131968
Deja_Vu_seg043,ah n dh ax s er ch ih s ax m ih s t ax r iy SP,0.131968 0.0516928 0.0274688 0.0954368 0.1455808 0.1496128 0.1197952 0.0708352 0.11872 0.044896 0.1957504 0.2010496 0.1499968 0.0791616 0.1604224 0.0662208 0.1431488 0.1895872
Deja_Vu_seg044,SP s t ae n d ih ng aa n m ay f iy t SP,0.1895872 0.1 0.0207872 0.2000448 0.0212736 0.0190336 0.109696 0.069792 0.165184 0.0243968 0.0617728 0.1382272 0.1025984 0.2698304 0.0577792 0.1131968
Deja_Vu_seg045,SP ih t s ow hh aa r d w eh n ay tr ay d t uw b iy m iy AP y ey SP,0.1131968 0.0972224 0.0291648 0.0697856 0.1812544 0.109376 0.1010432 0.0395776 0.0395904 0.0626944 0.1373056 0.0527168 0.1472832 0.1465984 0.1836096 0.0395776 0.1958592 0.1343488 0.0692736 0.1505216 0.0685376 0.4210432 0.3500032 0.0697856 1.4104192 0.297952
Deja_Vu_seg046,SP ay SP,0.297952 0.46848 0.5455744
